MR-ID,images-src,product_name,price,sold-status
"MR10243","http://www.metroretrofurniture.com/images/sofa/abc52tanleathersofa04_t.jpg","Italian Matteograssi Bristol Three-seat Leather Sofa","6300","SOLD"
"MR10808","http://www.metroretrofurniture.com/images/rosewood/abl78rosewoodchaircasters01_t.jpg","Danish Rosewood Leather Desk and Executive Chair by Arne Vodder HOLD","9800","SOLD"
"MR10870","http://www.metroretrofurniture.com/images/filingcabinet/abm03graylateralfile03_t.jpg","Knoll Metal Lateral File Cabinet  SOLD","150","SOLD"
"MR10456","http://www.metroretrofurniture.com/images/dresser/abe88dresser04_t.jpg","39"" Vintage Marble Wood Dresser Chest of Drawers","1900","null"
"MR10654","http://www.metroretrofurniture.com/images/miscelaneous/abe56mirror05_t.jpg","Rare French Brevete LB Wood Brass Trifold Wall Vanity Mirror","2600","null"
"MR10077","http://www.metroretrofurniture.com/images/miscelaneous/aav60greensmallteapodengland03_t.jpg","Vintage Ever Hot English Insulated Small Teapot Kettle","99","SOLD"
"MR10046","http://www.metroretrofurniture.com/images/coffeetable/aaz27teakdanishcoffeetable01_t.jpg","31"" Danish Teak Vejle Stole Og Møbelfabrik Coffee Table","395","null"
"MR10959","http://www.metroretrofurniture.com/images/bench/abm62chrometubularbench01_t.jpg","Art Deco Wolfgang Hoffmann Bench","2640","null"
"MR10264","http://www.metroretrofurniture.com/images/cabinet/abb50danishteaksideboard06_t.jpg","70"" Vintage Danish Teak Cabinet Sideboard","695","SOLD"
"MR10015","http://www.metroretrofurniture.com/images/ligne%20roset/aaz35lignerosetmetalsidetablesdark01_t.jpg","(1) NEW Ligne Roset Les Forets Low Table","900","null"
"MR10310","http://www.metroretrofurniture.com/images/hermanmiller2/abd5618fthmconftable01_t.jpg","18ft Herman Miller Eames Conference Laminate Table","3495","SOLD"
"MR10744","http://www.metroretrofurniture.com/images/knolldesk/abj73desk06_t.jpg","6ft Vintage Knoll Richard Schultz Walnut Desk","3800","SOLD"
"MR10680","http://www.metroretrofurniture.com/images/cabinet/abh97longcredenza02_t.jpg","116"" Long Vintage Burl Walnut Leather Cabinet Credenza","1995","SOLD"
"MR10758","http://www.metroretrofurniture.com/images/dunbar/abk99vintagedunbarleathertopreturndesk01_t.jpg","Mid Century L- Shaped Desk by Dunbar","8900","null"
"MR10689","http://www.metroretrofurniture.com/images/hotel%20crillon/abj75woodsilverendtable01_t.jpg","Elias Svedberg for Nordiska Kompaniet Side End Table Night Stand from HOTEL CRILLON","1295","null"
"MR10105","http://www.metroretrofurniture.com/images/coffeetable/aaj25chromebasecoffeetable02_t.jpg","Vintage Composition Chrome Coffee Table","695","SOLD"
"MR10098","http://www.metroretrofurniture.com/images/rugs/aaq47assortedcolorsrug03_t.jpg","10` x 12` Iran Bakteari Handmade Wool Rug","2995","null"
"MR10705","http://www.metroretrofurniture.com/images/cabinet/abj18drugcabinet04_t.jpg","Vintage Metal Medical Display Cabinet","2900","null"
"MR10078","http://www.metroretrofurniture.com/images/heywood/aad77heywoodwakefieldvanity02_t.jpg","Vintage Heywood Wakefield Wheat Encore Vanity Mirror","895","SOLD"
"MR10197","http://www.metroretrofurniture.com/images/knoll2/aba91maroon3cushionsofa04_t.jpg","84"" Florence Knoll Style Armless Chrome Frame Sofa","2900","SOLD"
"MR10542","http://www.metroretrofurniture.com/images/cabinet/abg49credenza08_t.jpg","98"" Italian Breakfront Sideboard Cabinet Credenza","6700","null"
"MR10010","http://www.metroretrofurniture.com/images/ligne%20roset/aaz36lignerosetguestchairsgreyl03_t.jpg","(2)  Ligne Roset GUEST Aluminum Dining Arm Chairs","1100","null"
"MR10192","http://www.metroretrofurniture.com/images/drafting/abb18antiquedraftingtable01_t.jpg","Vintage Hamilton Oak & Maple Drafting Table SOLD","2900","SOLD"
"MR10400","http://www.metroretrofurniture.com/images/dining/abf94with6ftglass03_t.jpg","8ft Knoll Tobia Scarpa Chrome Andre Dining Table","3900","null"
"MR10815","http://www.metroretrofurniture.com/images/nightstands/abl44nightstands02_t.jpg","(2) Art Deco Night Stand End Tables Glass Top","2900","SOLD"
"MR10521","http://www.metroretrofurniture.com/images/drexel/abh36drexeldresserforher05_t.jpg","Vintage Drexel 8 Drawer Dresser Chest of Drawers","1900","null"
"MR10133","","","null","SOLD"
"MR10214","http://www.metroretrofurniture.com/images/dining/aba98rustvelorarmchairs02_t.jpg","(4) Thonet Organic Style Mid Century Modern Chair","4000","SOLD"
"MR10442","http://www.metroretrofurniture.com/images/rugs/aan14rug04_t.jpg","8ft x 12ft Caucasian Kilim Moldova Hand Knotted Wool Rug","995","null"
"MR10732","http://www.metroretrofurniture.com/images/spectre/abk88jayspectreloungechairs03_t.jpg","(2) Century Jay Spectre Cerused Oak Lounge Chairs PRICE REDUCED","5900","SOLD"
"MR10406","http://www.metroretrofurniture.com/images/dining/abe67chairs02_t.jpg","(6) Vintage Italian Dining Side Chairs Gio Ponti Style","3400","SOLD"
"MR10928","http://www.metroretrofurniture.com/images/artII/abk31bronzebirdwallsculptures02_t.jpg","Vintage C. Jere Bronze Flying Birds Wall Sculpture","1900","null"
"MR10483","http://www.metroretrofurniture.com/images/chair4/abe73chair01_t.jpg","(4) Vintage Danish Style Walnut Side Dining Chairs Price includes custom re-upholstery in COM","2320","null"
"MR10739","http://www.metroretrofurniture.com/images/chandelier/abk97vintagebrasslucitechandelier02_t.jpg","Vintage 1970s Brass and Lucite Chandelier PRICE REDUCED HOLD","1300","SOLD"
"MR10156","http://www.metroretrofurniture.com/images/dining/aba66woodtable08_t.jpg","9ft Milo Baughman For Thayer Coggin Burled Extension Dining Table  SOLD","5900","SOLD"
"MR10677","http://www.metroretrofurniture.com/images/nightstands/aat96sidetable02_t.jpg","Vintage James Mont Style Birdseye Maple Nightstands HOLD","4200","null"
"MR10273","http://www.metroretrofurniture.com/images/knoll2/aau21knollearlyedition05_t.jpg","Early Edition Florence Knoll Horsehair Sofa Couch HOLD","9500","SOLD"
"MR10665","http://www.metroretrofurniture.com/images/consoletable/abi65halltable03_t.jpg","3ft Traditional Round Demilune Hall Console Table","1295","null"
"MR10733","http://www.metroretrofurniture.com/images/sofa/abk92silkchannelbacksettee04_t.jpg","65"" Art Deco Style Silk Channel Settee/Loveseat PRICE REDUCED","950","SOLD"
"MR10233","http://www.metroretrofurniture.com/images/chairII/abb40danishchairs01_t.jpg","(4) Danish Teak Dining Chairs","995","SOLD"
